crop,split,group,corr,tilt
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0001_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0114_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0118_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0122_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0126_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0128_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0130_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0132_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0134_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0162_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0178_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0180_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0182_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0184_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0186_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0188_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0190_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0192_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
data/det_fov/nomad_actor01_10/images/train/Actor001_a10_f0194_c0.jpg,train,NOMAD Actor001_a10,0.5389,비스듬_아래큼
